model,task,n_classes,seed,split,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,truncation_rate
mental/mental-bert-base-uncased,multilabel,10.0,1337.0,val,0.24078662739532805,0.24182086921704166,,0.23123732251521298,,,0.0158
mental/mental-bert-base-uncased,multilabel,10.0,1337.0,test,0.20403099947217598,0.20678272813566934,,0.2070393374741201,,,0.0198
mental/mental-bert-base-uncased,multilabel,10.0,2024.0,val,0.2822676934431245,0.2788420391671208,,0.2839506172839506,,,0.0158
mental/mental-bert-base-uncased,multilabel,10.0,2024.0,test,0.19591810661620015,0.19064335155101736,,0.2,,,0.0198
mental/mental-bert-base-uncased,multilabel,10.0,42.0,val,0.2673603882274557,0.2653035967028265,,0.25,,,0.0158
mental/mental-bert-base-uncased,multilabel,10.0,42.0,test,0.18389049829468426,0.1748822239525057,,0.19923371647509577,,,0.0198
roberta-base,binary,2.0,1337.0,val,0.7584871669601541,0.748331408034912,,0.7549407114624506,0.7891156462585034,,0.0277
roberta-base,binary,2.0,1337.0,test,0.7121625290694243,0.6961108946890013,,0.7075098814229249,0.7549668874172185,,0.0237
roberta-base,binary,2.0,2024.0,val,0.7815486235387025,0.7714248838409912,,0.7786561264822134,0.8120805369127517,,0.0277
roberta-base,binary,2.0,2024.0,test,0.7518146614587699,0.7328047206343352,,0.7509881422924901,0.8025078369905956,,0.0237
roberta-base,binary,2.0,42.0,val,0.7596117035410201,0.7445248224602294,,0.758893280632411,0.805111821086262,,0.0277
roberta-base,binary,2.0,42.0,test,0.6960006735707671,0.671954197187842,,0.6956521739130435,0.7601246105919003,,0.0237
roberta-base,multiclass,11.0,1337.0,val,0.3539311056847238,0.22355284975712808,0.1820337891831027,0.36363636363636365,,0.6387434554973822,0.0277
roberta-base,multiclass,11.0,1337.0,test,0.29492928540729996,0.19175189173104742,0.1555598492657341,0.2964426877470356,,0.5536723163841808,0.0237
roberta-base,multiclass,11.0,2024.0,val,0.3299271643579335,0.21978784764101664,0.1849618986773076,0.33201581027667987,,0.5680473372781065,0.0277
roberta-base,multiclass,11.0,2024.0,test,0.2952511932489235,0.1778611640769978,0.1404325565583172,0.2924901185770751,,0.5521472392638037,0.0237
roberta-base,multiclass,11.0,42.0,val,0.3519933144369389,0.2023924440984972,0.15666310212091236,0.3675889328063241,,0.6596858638743456,0.0277
roberta-base,multiclass,11.0,42.0,test,0.28081674592456884,0.1593939345667713,0.1188361528822055,0.2885375494071146,,0.5649717514124294,0.0237
roberta-base,multilabel,10.0,1337.0,val,0.2726132925060903,0.2589600662726294,,0.26422764227642276,,,0.0277
roberta-base,multilabel,10.0,1337.0,test,0.1978896351587279,0.1920982726620208,,0.2,,,0.0237
roberta-base,multilabel,10.0,2024.0,val,0.2926091287636944,0.2768013812869389,,0.2909090909090909,,,0.0277
roberta-base,multilabel,10.0,2024.0,test,0.20878617739716535,0.19636778336603347,,0.2205029013539652,,,0.0237
roberta-base,multilabel,10.0,42.0,val,0.294973289381893,0.2887706318019786,,0.28817204301075267,,,0.0277
roberta-base,multilabel,10.0,42.0,test,0.22049396743044997,0.23117974369247712,,0.21666666666666667,,,0.0237
