model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging
tfidf+logreg,binary,42.0,val,2,0.722333188555523,0.7079614365377425,,0.7193675889328063,0.7656765676567657,,,0.0,empowerlens,
tfidf+logreg,multiclass,42.0,val,11,0.3296590995445936,0.1816830302710651,0.1354948976546072,0.3478260869565217,,0.6435643564356436,0.2416546002426329,0.0,empowerlens,
tfidf+logreg,multilabel,42.0,val,10,0.1411004863899372,0.124356510989612,,0.1578947368421052,,,,0.0,empowerlens,
tfidf+logreg,binary,1337.0,val,2,0.722333188555523,0.7079614365377425,,0.7193675889328063,0.7656765676567657,,,0.0,empowerlens,
tfidf+logreg,multiclass,1337.0,val,11,0.3296590995445936,0.1816830302710651,0.1354948976546072,0.3478260869565217,,0.6435643564356436,0.2416546002426329,0.0,empowerlens,
tfidf+logreg,multilabel,1337.0,val,10,0.1411004863899372,0.124356510989612,,0.1578947368421052,,,,0.0,empowerlens,
tfidf+logreg,binary,2024.0,val,2,0.722333188555523,0.7079614365377425,,0.7193675889328063,0.7656765676567657,,,0.0,empowerlens,
tfidf+logreg,multiclass,2024.0,val,11,0.3296590995445936,0.1816830302710651,0.1354948976546072,0.3478260869565217,,0.6435643564356436,0.2416546002426329,0.0,empowerlens,
tfidf+logreg,multilabel,2024.0,val,10,0.1411004863899372,0.124356510989612,,0.1578947368421052,,,,0.0,empowerlens,
roberta-base,multiclass,42.0,val,11,0.3519933144369389,0.2023924440984972,0.1566631021209123,0.3675889328063241,,0.6596858638743456,0.2477081307038056,0.0277,empowerlens,
roberta-base,multiclass,42.0,test,11,0.2808167459245688,0.1593939345667713,0.1188361528822055,0.2885375494071146,,0.5649717514124294,0.2054442732408834,0.0237,empowerlens,
roberta-base,multiclass,1337.0,val,11,0.3539311056847238,0.223552849757128,0.1820337891831027,0.3636363636363636,,0.6387434554973822,0.2398443805227324,0.0277,empowerlens,
roberta-base,multiclass,1337.0,test,11,0.2949292854072999,0.1917518917310474,0.1555598492657341,0.2964426877470356,,0.5536723163841808,0.2013353877760657,0.0237,empowerlens,
roberta-base,multiclass,2024.0,val,11,0.3299271643579335,0.2197878476410166,0.1849618986773076,0.3320158102766798,,0.5680473372781065,0.2132984072783404,0.0277,empowerlens,
roberta-base,multiclass,2024.0,test,11,0.2952511932489235,0.1778611640769978,0.1404325565583172,0.2924901185770751,,0.5521472392638037,0.2007808142777468,0.0237,empowerlens,
roberta-base,binary,42.0,val,2,0.7596117035410201,0.7445248224602294,,0.758893280632411,0.805111821086262,,,0.0277,empowerlens,
roberta-base,binary,42.0,test,2,0.6960006735707671,0.671954197187842,,0.6956521739130435,0.7601246105919003,,,0.0237,empowerlens,
roberta-base,binary,1337.0,val,2,0.7584871669601541,0.748331408034912,,0.7549407114624506,0.7891156462585034,,,0.0277,empowerlens,
roberta-base,binary,1337.0,test,2,0.7121625290694243,0.6961108946890013,,0.7075098814229249,0.7549668874172185,,,0.0237,empowerlens,
roberta-base,binary,2024.0,val,2,0.7815486235387025,0.7714248838409912,,0.7786561264822134,0.8120805369127517,,,0.0277,empowerlens,
roberta-base,binary,2024.0,test,2,0.7518146614587699,0.7328047206343352,,0.7509881422924901,0.8025078369905956,,,0.0237,empowerlens,
roberta-base,multilabel,42.0,val,10,0.294973289381893,0.2887706318019786,,0.2881720430107526,,,,0.0277,empowerlens,
roberta-base,multilabel,42.0,test,10,0.2204939674304499,0.2311797436924771,,0.2166666666666666,,,,0.0237,empowerlens,
roberta-base,multilabel,1337.0,val,10,0.2726132925060903,0.2589600662726294,,0.2642276422764227,,,,0.0277,empowerlens,
roberta-base,multilabel,1337.0,test,10,0.1978896351587279,0.1920982726620208,,0.2,,,,0.0237,empowerlens,
roberta-base,multilabel,2024.0,val,10,0.2926091287636944,0.2768013812869389,,0.2909090909090909,,,,0.0277,empowerlens,
roberta-base,multilabel,2024.0,test,10,0.2087861773971653,0.1963677833660334,,0.2205029013539652,,,,0.0237,empowerlens,
mental/mental-bert-base-uncased,multilabel,42.0,val,10,0.2673603882274557,0.2653035967028265,,0.25,,,,0.0158,empowerlens,
mental/mental-bert-base-uncased,multilabel,42.0,test,10,0.1838904982946842,0.1748822239525057,,0.1992337164750957,,,,0.0198,empowerlens,
mental/mental-bert-base-uncased,multilabel,1337.0,val,10,0.240786627395328,0.2418208692170416,,0.2312373225152129,,,,0.0158,empowerlens,
mental/mental-bert-base-uncased,multilabel,1337.0,test,10,0.2040309994721759,0.2067827281356693,,0.2070393374741201,,,,0.0198,empowerlens,
mental/mental-bert-base-uncased,multilabel,2024,val,10,0.2822676934431245,0.2788420391671208,,0.2839506172839506,,,,0.0158,empowerlens,
mental/mental-bert-base-uncased,multilabel,2024,test,10,0.19591810661620015,0.19064335155101736,,0.2,,,,0.0198,empowerlens,
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted
