class,precision,recall,f1,support,weighted_contribution
no_distortion,0.5764705882352941,0.532608695652174,0.5536723163841808,92,0.20133538777606574
emotional_reasoning,0.22727272727272727,0.4166666666666667,0.29411764705882354,12,0.013950244129272262
overgeneralization,0.058823529411764705,0.038461538461538464,0.046511627906976744,26,0.004779851089254527
mental_filter,0.5,0.23076923076923078,0.3157894736842105,13,0.016226336592469314
should_statements,0.2,0.45454545454545453,0.2777777777777778,11,0.012077294685990338
all_or_nothing,0.0,0.0,0.0,11,0.0
mind_reading,0.19230769230769232,0.17857142857142858,0.18518518518518517,28,0.020494803103498754
fortune_telling,0.08333333333333333,0.15384615384615385,0.10810810810810811,13,0.005554962076701208
magnification,0.06666666666666667,0.05555555555555555,0.06060606060606061,18,0.0043118936399568816
personalization,0.05,0.07692307692307693,0.06060606060606061,13,0.0031141454066355256
labeling,0.23076923076923078,0.1875,0.20689655172413793,16,0.013084366907455363
