class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.0,0.0,0.0,17,0.0
overgeneralization,0.1791044776119403,0.42857142857142855,0.25263157894736843,28,0.0346749226006192
mental_filter,0.057692307692307696,0.2,0.08955223880597014,15,0.006584723441615452
should_statements,0.3103448275862069,0.6923076923076923,0.42857142857142855,13,0.027310924369747896
all_or_nothing,0.14285714285714285,0.23076923076923078,0.17647058823529413,13,0.01124567474048443
mind_reading,0.40384615384615385,0.6774193548387096,0.5060240963855421,31,0.0768958185683912
fortune_telling,0.3157894736842105,0.2857142857142857,0.3,21,0.03088235294117647
magnification,0.21875,0.28,0.24561403508771928,25,0.030099759201926382
personalization,0.3333333333333333,0.1,0.15384615384615385,20,0.015082956259426848
labeling,0.5,0.47619047619047616,0.4878048780487805,21,0.05021520803443328
