class,precision,recall,f1,support,weighted_contribution
no_distortion,0.6666666666666666,0.45652173913043476,0.5419354838709678,92,0.19706744868035192
emotional_reasoning,0.09090909090909091,0.16666666666666666,0.11764705882352941,12,0.005580097651708905
overgeneralization,0.17647058823529413,0.23076923076923078,0.2,26,0.02055335968379447
mental_filter,0.125,0.07692307692307693,0.09523809523809523,13,0.004893657067570111
should_statements,0.2,0.18181818181818182,0.19047619047619047,11,0.008281573498964802
all_or_nothing,0.1,0.09090909090909091,0.09523809523809523,11,0.004140786749482401
mind_reading,0.3,0.32142857142857145,0.3103448275862069,28,0.03434646313207033
fortune_telling,0.25,0.23076923076923078,0.24,13,0.012332015810276679
magnification,0.13333333333333333,0.1111111111111111,0.12121212121212122,18,0.008623787279913763
personalization,0.1111111111111111,0.15384615384615385,0.12903225806451613,13,0.0066301160270304735
labeling,0.1935483870967742,0.375,0.2553191489361702,16,0.016146665545370444
