model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,roc_auc,source,averaging
mental/mental-roberta-base,multiclass,42.0,val,11,0.6620822221813135,0.409643259009927,0.2894336500900664,0.6324110671936759,,0.7924528301886793,0.2693713177716459,0.0079,,empowerlens,
mental/mental-roberta-base,multiclass,42.0,test,11,0.6494872843548852,0.3720494335206359,0.3312055963848946,0.6363636363636364,,0.7804878048780488,0.2653041550178348,0.0316,,empowerlens,
mental/mental-roberta-base,multiclass,1337.0,val,11,0.661572066347448,0.441296419299172,0.3205434007458782,0.6284584980237155,,0.7662337662337663,0.2604589086802525,0.0079,,empowerlens,
mental/mental-roberta-base,multiclass,1337.0,test,11,0.623471410734545,0.3681259730563704,0.3307247338840201,0.6086956521739131,,0.7421383647798742,0.2522683769607477,0.0316,,empowerlens,
mental/mental-roberta-base,multiclass,2024.0,val,11,0.5998422446050905,0.399693685220001,0.2892114961851804,0.5612648221343873,,0.7051282051282052,0.2396878483835005,0.0079,,empowerlens,
mental/mental-roberta-base,multiclass,2024.0,test,11,0.6155479070130586,0.3334245754922452,0.2908634185836384,0.5849802371541502,,0.7590361445783133,0.2580122862993476,0.0316,,empowerlens,
mental/mental-roberta-base,binary,42.0,val,2,0.865222096743836,0.849404761904762,,0.8656126482213439,0.8988095238095238,,,0.0079,0.9215986631388384,empowerlens,
mental/mental-roberta-base,binary,42.0,test,2,0.849802371541502,0.83264865617602,,0.849802371541502,0.8862275449101796,,,0.0316,0.932112519147751,empowerlens,
mental/mental-roberta-base,binary,1337.0,val,2,0.8810783206563257,0.8671218487394958,,0.8814229249011858,0.9107142857142856,,,0.0079,0.9313466091073668,empowerlens,
mental/mental-roberta-base,binary,1337.0,test,2,0.8456291457213619,0.8277559570568211,,0.8458498023715415,0.8835820895522388,,,0.0316,0.9274474307199554,empowerlens,
mental/mental-roberta-base,binary,2024,val,2,0.8666762806949525,0.8486759828176826,,0.8695652173913043,0.9048991354466859,,,0.0079,0.9283525971313188,empowerlens,
mental/mental-roberta-base,binary,2024,test,2,0.856391480826818,0.8386250885896527,,0.857707509881423,0.8941176470588236,,,0.0316,0.9333658264865617,empowerlens,
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,,paper,UNSPECIFIED
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,,paper,weighted
