class,precision,recall,f1,support,weighted_contribution
no_distortion,0.5882352941176471,0.5434782608695652,0.5649717514124294,92,0.2054442732408834
emotional_reasoning,0.0,0.0,0.0,12,0.0
overgeneralization,0.0,0.0,0.0,26,0.0
mental_filter,0.2,0.38461538461538464,0.2631578947368421,13,0.013521947160391096
should_statements,0.23529411764705882,0.36363636363636365,0.2857142857142857,11,0.012422360248447204
all_or_nothing,0.0,0.0,0.0,11,0.0
mind_reading,0.19444444444444445,0.25,0.21875,28,0.024209486166007904
fortune_telling,0.08,0.15384615384615385,0.10526315789473684,13,0.005408778864156439
magnification,0.1,0.16666666666666666,0.125,18,0.008893280632411068
personalization,0.125,0.07692307692307693,0.09523809523809523,13,0.004893657067570111
labeling,0.2,0.0625,0.09523809523809523,16,0.006022962544701674
