class,precision,recall,f1,support,weighted_contribution
no_distortion,0.6944444444444444,0.5434782608695652,0.6097560975609756,92,0.22172949002217296
emotional_reasoning,0.13333333333333333,0.3333333333333333,0.19047619047619047,12,0.009034443817052512
overgeneralization,0.07142857142857142,0.038461538461538464,0.05,26,0.005138339920948617
mental_filter,0.058823529411764705,0.07692307692307693,0.06666666666666667,13,0.0034255599472990776
should_statements,0.15625,0.45454545454545453,0.23255813953488372,11,0.010111223458038422
all_or_nothing,0.0,0.0,0.0,11,0.0
mind_reading,0.36666666666666664,0.39285714285714285,0.3793103448275862,28,0.04197901049475262
fortune_telling,0.25,0.23076923076923078,0.24,13,0.012332015810276679
magnification,0.2727272727272727,0.16666666666666666,0.20689655172413793,18,0.014719912770887284
personalization,0.07692307692307693,0.07692307692307693,0.07692307692307693,13,0.003952569169960475
labeling,0.3,0.375,0.3333333333333333,16,0.02108036890645586
