class,precision,recall,f1,support,weighted_contribution
no_distortion,0.746031746031746,0.5108695652173914,0.6064516129032258,92,0.22052785923753665
emotional_reasoning,0.09375,0.25,0.13636363636363635,12,0.006467840459935321
overgeneralization,0.28,0.2692307692307692,0.27450980392156865,26,0.028210493683639468
mental_filter,0.23076923076923078,0.23076923076923078,0.23076923076923078,13,0.011857707509881424
should_statements,0.18181818181818182,0.36363636363636365,0.24242424242424243,11,0.010540184453227932
all_or_nothing,0.16666666666666666,0.09090909090909091,0.11764705882352941,11,0.005115089514066496
mind_reading,0.2916666666666667,0.25,0.2692307692307692,28,0.02979629066585588
fortune_telling,0.08333333333333333,0.07692307692307693,0.08,13,0.004110671936758893
magnification,0.1111111111111111,0.1111111111111111,0.1111111111111111,18,0.007905138339920948
personalization,0.1,0.15384615384615385,0.12121212121212122,13,0.006228290813271051
labeling,0.2777777777777778,0.3125,0.29411764705882354,16,0.01860032550569635
