class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7592592592592593,0.2808219178082192,0.41,146,0.1825
emotional_reasoning,0.18518518518518517,0.45454545454545453,0.2631578947368421,22,0.01765083440308087
overgeneralization,0.16,0.19047619047619047,0.17391304347826086,21,0.011134676564156946
mental_filter,0.125,0.2,0.15384615384615385,10,0.004690431519699813
should_statements,0.41935483870967744,0.5652173913043478,0.48148148148148145,23,0.03376242095754291
all_or_nothing,0.16666666666666666,0.09090909090909091,0.11764705882352941,11,0.003945480631276901
mind_reading,0.20833333333333334,0.625,0.3125,24,0.022865853658536585
fortune_telling,0.5172413793103449,0.75,0.6122448979591837,20,0.03733200597312095
magnification,0.18181818181818182,0.2857142857142857,0.2222222222222222,14,0.009485094850948509
personalization,0.42857142857142855,0.375,0.4,8,0.009756097560975611
labeling,0.25,0.10344827586206896,0.14634146341463414,29,0.012938726948245091
