class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.125,0.058823529411764705,0.08,17,0.006666666666666666
overgeneralization,0.21875,0.5,0.30434782608695654,28,0.04177323103154306
mental_filter,0.10204081632653061,1.0,0.18518518518518517,15,0.013616557734204792
should_statements,0.25,0.15384615384615385,0.19047619047619047,13,0.012138188608776843
all_or_nothing,0.4,0.15384615384615385,0.2222222222222222,13,0.014161220043572982
mind_reading,0.4444444444444444,0.12903225806451613,0.2,31,0.030392156862745098
fortune_telling,0.4,0.09523809523809523,0.15384615384615385,21,0.01583710407239819
magnification,0.4,0.08,0.13333333333333333,25,0.01633986928104575
personalization,0.16417910447761194,0.55,0.25287356321839083,20,0.02479152580572459
labeling,0.5,0.09523809523809523,0.16,21,0.01647058823529412
