class,precision,recall,f1,support,weighted_contribution
emotional_reasoning,0.08823529411764706,0.17647058823529413,0.11764705882352941,17,0.00980392156862745
overgeneralization,0.22916666666666666,0.39285714285714285,0.2894736842105263,28,0.03973168214654283
mental_filter,0.06,0.2,0.09230769230769231,15,0.006787330316742082
should_statements,0.2857142857142857,0.46153846153846156,0.35294117647058826,13,0.02249134948096886
all_or_nothing,0.15789473684210525,0.46153846153846156,0.23529411764705882,13,0.014994232987312572
mind_reading,0.39215686274509803,0.6451612903225806,0.4878048780487805,31,0.07412721186035388
fortune_telling,0.391304347826087,0.42857142857142855,0.4090909090909091,21,0.042112299465240643
magnification,0.23076923076923078,0.24,0.23529411764705882,25,0.02883506343713956
personalization,0.0,0.0,0.0,20,0.0
labeling,0.75,0.14285714285714285,0.24,21,0.024705882352941175
