class,precision,recall,f1,support,weighted_contribution
no_distortion,0.6666666666666666,0.45652173913043476,0.5419354838709678,92,0.19706744868035192
emotional_reasoning,0.16666666666666666,0.4166666666666667,0.23809523809523808,12,0.01129305477131564
overgeneralization,0.2631578947368421,0.19230769230769232,0.2222222222222222,26,0.022837066315327184
mental_filter,0.13333333333333333,0.15384615384615385,0.14285714285714285,13,0.007340485601355166
should_statements,0.2222222222222222,0.18181818181818182,0.2,11,0.008695652173913044
all_or_nothing,0.21428571428571427,0.2727272727272727,0.24,11,0.010434782608695651
mind_reading,0.3103448275862069,0.32142857142857145,0.3157894736842105,28,0.034949032660703136
fortune_telling,0.17647058823529413,0.23076923076923078,0.2,13,0.010276679841897235
magnification,0.06666666666666667,0.05555555555555555,0.06060606060606061,18,0.0043118936399568816
personalization,0.23076923076923078,0.46153846153846156,0.3076923076923077,13,0.0158102766798419
labeling,0.1875,0.1875,0.1875,16,0.011857707509881422
