eval_loss,eval_macro_f1,eval_micro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
1.2676209211349487,0.12034689724362058,0.15196078431372548,1.6861,150.047,9.489,1.0,127
1.1399356126785278,0.26027746161280196,0.25848849945235486,1.6522,153.127,9.684,2.0,254
1.1065367460250854,0.2670710752459479,0.26537216828478966,1.6499,153.347,9.698,3.0,381
1.1249324083328247,0.28707673526909244,0.2888086642599278,1.6747,151.075,9.554,4.0,508
1.1697722673416138,0.31056247319865693,0.3188405797101449,1.6504,153.295,9.695,5.0,635
1.1483840942382812,0.307717714736502,0.30892143808255657,1.6578,152.611,9.651,6.0,762
1.1577582359313965,0.30814544596693466,0.30407911001236093,1.6613,152.293,9.631,7.0,889
1.252730131149292,0.30635383831616336,0.3236641221374046,1.6583,152.562,9.648,8.0,1016
1.328474521636963,0.328256272960403,0.35008665511265163,1.6616,152.264,9.629,9.0,1143
1.354447364807129,0.3300375810093411,0.3362521891418564,1.637,154.554,9.774,10.0,1270
1.4182343482971191,0.3248393133535736,0.3435114503816794,1.6532,153.038,9.678,11.0,1397
1.4663026332855225,0.31780263321941565,0.33659491193737767,1.6584,152.56,9.648,12.0,1524
1.3551878929138184,0.3300375810093411,0.3362521891418564,1.676,150.951,9.546,12.0,1524
