model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,roc_auc,source,averaging
mental/mental-roberta-base,binary,42,val,2,0.8043411320537088,0.7940007816571131,,0.8023715415019763,0.8355263157894737,,,0.0277,0.8460359760159892,empowerlens,
mental/mental-roberta-base,binary,42,test,2,0.7319684545062188,0.707362969356927,,0.7351778656126482,0.797583081570997,,,0.0237,0.7666756683769916,empowerlens,
mental/mental-roberta-base,multilabel,42,val,10,0.3520937470372491,0.3239063511742883,,0.3354037267080745,,,,0.0277,0.7575020411372705,empowerlens,
mental/mental-roberta-base,multilabel,42,test,10,0.2796591350212921,0.2730482242722144,,0.2787878787878788,,,,0.0237,0.7409600576635839,empowerlens,
mental/mental-roberta-base,binary,1337,val,2,0.7849059911345599,0.7737729437968428,,0.782608695652174,0.8184818481848185,,,0.0277,0.8409060626249166,empowerlens,
mental/mental-roberta-base,binary,1337,test,2,0.7383449596253303,0.7215349990964796,,0.7351778656126482,0.7831715210355987,,,0.0237,0.790845260599514,empowerlens,
mental/mental-roberta-base,multilabel,1337,val,10,0.3635976456941335,0.3476988923958283,,0.3579418344519016,,,,0.0277,0.738373426585567,empowerlens,
mental/mental-roberta-base,multilabel,1337,test,10,0.2721076310004012,0.2651129422009591,,0.2807017543859649,,,,0.0237,0.7208986033949734,empowerlens,
mental/mental-roberta-base,binary,2024,val,2,0.8264388904273977,0.8153529723991508,,0.8260869565217391,0.8598726114649682,,,0.0277,0.8504996668887408,empowerlens,
mental/mental-roberta-base,binary,2024,test,2,0.7311326039649738,0.7057577809022896,,0.7351778656126482,0.7987987987987988,,,0.0237,0.775722387253578,empowerlens,
mental/mental-roberta-base,multilabel,2024,val,10,0.3341217589774464,0.3243202484189627,,0.33131313131313134,,,,0.0277,0.7704341720886486,empowerlens,
mental/mental-roberta-base,multilabel,2024,test,10,0.26648577980020355,0.2494372404251557,,0.28007889546351084,,,,0.0237,0.7457581111798587,empowerlens,
