class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7333333333333333,0.4782608695652174,0.5789473684210527,92,0.2105263157894737
emotional_reasoning,0.08333333333333333,0.08333333333333333,0.08333333333333333,12,0.003952569169960474
overgeneralization,0.1388888888888889,0.19230769230769232,0.16129032258064516,26,0.016575290067576184
mental_filter,0.09090909090909091,0.07692307692307693,0.08333333333333333,13,0.004281949934123847
should_statements,0.15,0.2727272727272727,0.1935483870967742,11,0.008415147265077139
all_or_nothing,0.125,0.09090909090909091,0.10526315789473684,11,0.004576659038901602
mind_reading,0.3225806451612903,0.35714285714285715,0.3389830508474576,28,0.03751591076572654
fortune_telling,0.15789473684210525,0.23076923076923078,0.1875,13,0.009634387351778656
magnification,0.17857142857142858,0.2777777777777778,0.21739130434782608,18,0.015466575012888813
personalization,0.07142857142857142,0.07692307692307693,0.07407407407407407,13,0.0038061777192211974
labeling,0.21428571428571427,0.1875,0.2,16,0.012648221343873518
