class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7222222222222222,0.4452054794520548,0.5508474576271186,146,0.2451942951632906
emotional_reasoning,0.2,0.5909090909090909,0.2988505747126437,22,0.020044855620970005
overgeneralization,0.2,0.19047619047619047,0.1951219512195122,21,0.012492563950029744
mental_filter,0.15384615384615385,0.2,0.17391304347826086,10,0.005302226935312831
should_statements,0.4230769230769231,0.4782608695652174,0.4489795918367347,23,0.03148332503733201
all_or_nothing,0.2,0.09090909090909091,0.125,11,0.004192073170731708
mind_reading,0.16363636363636364,0.375,0.22784810126582278,24,0.01667181228774313
fortune_telling,0.5555555555555556,0.75,0.6382978723404256,20,0.038920601971977165
magnification,0.09090909090909091,0.07142857142857142,0.08,14,0.003414634146341464
personalization,0.16666666666666666,0.125,0.14285714285714285,8,0.003484320557491289
labeling,0.3,0.10344827586206896,0.15384615384615385,29,0.013602251407129456
