model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
tfidf+logreg,binary,42.0,val,2,0.722333189,0.707961437,,0.719367589,0.765676568,,,0.0,empowerlens,,results
tfidf+logreg,multiclass,42.0,val,11,0.3296591,0.18168303,0.135494898,0.347826087,,0.643564356,0.2416546,0.0,empowerlens,,results
tfidf+logreg,multilabel,42.0,val,10,0.141100486,0.124356511,,0.157894737,,,,0.0,empowerlens,,results
tfidf+logreg,binary,1337.0,val,2,0.722333189,0.707961437,,0.719367589,0.765676568,,,0.0,empowerlens,,results
tfidf+logreg,multiclass,1337.0,val,11,0.3296591,0.18168303,0.135494898,0.347826087,,0.643564356,0.2416546,0.0,empowerlens,,results
tfidf+logreg,multilabel,1337.0,val,10,0.141100486,0.124356511,,0.157894737,,,,0.0,empowerlens,,results
tfidf+logreg,binary,2024.0,val,2,0.722333189,0.707961437,,0.719367589,0.765676568,,,0.0,empowerlens,,results
tfidf+logreg,multiclass,2024.0,val,11,0.3296591,0.18168303,0.135494898,0.347826087,,0.643564356,0.2416546,0.0,empowerlens,,results
tfidf+logreg,multilabel,2024.0,val,10,0.141100486,0.124356511,,0.157894737,,,,0.0,empowerlens,,results
roberta-base,multiclass,42.0,val,11,0.351993314,0.202392444,0.156663102,0.367588933,,0.659685864,0.247708131,0.0277,empowerlens,,results
roberta-base,multiclass,42.0,test,11,0.280816746,0.159393935,0.118836153,0.288537549,,0.564971751,0.205444273,0.0237,empowerlens,,results
roberta-base,multiclass,1337.0,val,11,0.353931106,0.22355285,0.182033789,0.363636364,,0.638743455,0.239844381,0.0277,empowerlens,,results
roberta-base,multiclass,1337.0,test,11,0.294929285,0.191751892,0.155559849,0.296442688,,0.553672316,0.201335388,0.0237,empowerlens,,results
