model,task,n_classes,seed,split,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,truncation_rate
microsoft/deberta-v3-base,multiclass,11.0,1337.0,val,0.39179424427806275,0.2555503630404441,0.21265620148352596,0.39920948616600793,,0.6844919786096256,0.0119
microsoft/deberta-v3-base,multiclass,11.0,1337.0,test,0.34350293431784445,0.2169018546406228,0.1776164303485875,0.3359683794466403,,0.6097560975609756,0.0079
microsoft/deberta-v3-base,multiclass,11.0,2024.0,val,0.36545981710385345,0.24496013050698065,0.20598308966546316,0.35177865612648224,,0.6347305389221557,0.0119
microsoft/deberta-v3-base,multiclass,11.0,2024.0,test,0.3212256902923755,0.20406229819185462,0.16675040720567094,0.2964426877470356,,0.5771812080536913,0.0079
microsoft/deberta-v3-base,multiclass,11.0,42.0,val,0.41275137253970734,0.29192765643430274,0.2559518827518903,0.4150197628458498,,0.651685393258427,0.0119
microsoft/deberta-v3-base,multiclass,11.0,42.0,test,0.3435132986633011,0.21408045580347126,0.17207386723747692,0.3241106719367589,,0.6341463414634146,0.0079
microsoft/deberta-v3-base,multilabel,10.0,1337.0,val,0.366175603200238,0.359054070854556,,0.3673469387755102,,,0.0119
microsoft/deberta-v3-base,multilabel,10.0,1337.0,test,0.19707656883544503,0.18189905547322424,,0.19047619047619047,,,0.0079
microsoft/deberta-v3-base,multilabel,10.0,2024.0,val,0.31018353055280684,0.29744986660043005,,0.31346578366445915,,,0.0119
microsoft/deberta-v3-base,multilabel,10.0,2024.0,test,0.20947117833551285,0.19233971497946106,,0.21231422505307856,,,0.0079
microsoft/deberta-v3-base,multilabel,10.0,42.0,val,0.3513694092434074,0.3365911165761128,,0.3462414578587699,,,0.0119
microsoft/deberta-v3-base,multilabel,10.0,42.0,test,0.22001309959479595,0.20607224688949727,,0.21923937360178972,,,0.0079
mental/mental-roberta-base,multiclass,11.0,1337.0,val,0.39620514375741217,0.27255181330244854,0.2335279248652516,0.38735177865612647,,0.6627906976744186,0.0277
mental/mental-roberta-base,multiclass,11.0,1337.0,test,0.3493598921197904,0.2258033848925689,0.18773856209150327,0.3241106719367589,,0.6064516129032258,0.0237
mental/mental-roberta-base,multiclass,11.0,2024.0,val,0.34321833772380234,0.23563909152400253,0.20170300067640282,0.32806324110671936,,0.575,0.0277
mental/mental-roberta-base,multiclass,11.0,2024.0,test,0.32041452164217277,0.20948738982468365,0.17615041452143773,0.2924901185770751,,0.5428571428571428,0.0237
mental/mental-roberta-base,multiclass,11.0,42.0,val,0.3806065682913615,0.26802785893605036,0.23292588292489347,0.3794466403162055,,0.6190476190476191,0.0277
mental/mental-roberta-base,multiclass,11.0,42.0,test,0.3451567902449049,0.23617422267438323,0.200188995935199,0.3201581027667984,,0.5960264900662252,0.0237
mental/mental-roberta-base,multilabel,10.0,1337.0,val,0.3307811224188573,0.31620804585402784,,0.32786885245901637,,,0.0277
mental/mental-roberta-base,multilabel,10.0,1337.0,test,0.2776436332744139,0.2757008582595329,,0.2824427480916031,,,0.0237
mental/mental-roberta-base,multilabel,10.0,2024.0,val,0.35012112437946935,0.3312250159252855,,0.34324942791762014,,,0.0277
mental/mental-roberta-base,multilabel,10.0,2024.0,test,0.29105379013994775,0.27556320754408714,,0.28870292887029286,,,0.0237
mental/mental-roberta-base,multilabel,10.0,42.0,val,0.35491119991514464,0.33632133125291713,,0.3452631578947368,,,0.0277
mental/mental-roberta-base,multilabel,10.0,42.0,test,0.2958170492261527,0.2850185864963071,,0.29025844930417494,,,0.0237
