model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging
mental/mental-roberta-base,multilabel,42.0,val,10,0.3549111999151446,0.3363213312529171,,0.3452631578947368,,,,0.0277,empowerlens,
mental/mental-roberta-base,multilabel,42.0,test,10,0.2958170492261527,0.2850185864963071,,0.2902584493041749,,,,0.0237,empowerlens,
mental/mental-roberta-base,multilabel,1337.0,val,10,0.3307811224188573,0.3162080458540278,,0.3278688524590163,,,,0.0277,empowerlens,
mental/mental-roberta-base,multilabel,1337.0,test,10,0.2776436332744139,0.2757008582595329,,0.2824427480916031,,,,0.0237,empowerlens,
mental/mental-roberta-base,multilabel,2024.0,val,10,0.3501211243794693,0.3312250159252855,,0.3432494279176201,,,,0.0277,empowerlens,
mental/mental-roberta-base,multilabel,2024.0,test,10,0.2910537901399477,0.2755632075440871,,0.2887029288702928,,,,0.0237,empowerlens,
microsoft/deberta-v3-base,multilabel,42.0,val,10,0.3513694092434074,0.3365911165761128,,0.3462414578587699,,,,0.0119,empowerlens,
microsoft/deberta-v3-base,multilabel,42.0,test,10,0.2200130995947959,0.2060722468894972,,0.2192393736017897,,,,0.0079,empowerlens,
microsoft/deberta-v3-base,multilabel,1337.0,val,10,0.366175603200238,0.359054070854556,,0.3673469387755102,,,,0.0119,empowerlens,
microsoft/deberta-v3-base,multilabel,1337.0,test,10,0.197076568835445,0.1818990554732242,,0.1904761904761904,,,,0.0079,empowerlens,
microsoft/deberta-v3-base,multilabel,2024.0,val,10,0.3101835305528068,0.29744986660043,,0.3134657836644591,,,,0.0119,empowerlens,
microsoft/deberta-v3-base,multilabel,2024.0,test,10,0.2094711783355128,0.192339714979461,,0.2123142250530785,,,,0.0079,empowerlens,
microsoft/deberta-v3-base,multiclass,42.0,val,11,0.4127513725397073,0.2919276564343027,0.2559518827518903,0.4150197628458498,,0.651685393258427,0.2447040014211484,0.0119,empowerlens,
microsoft/deberta-v3-base,multiclass,42.0,test,11,0.3435132986633011,0.2140804558034712,0.1720738672374769,0.3241106719367589,,0.6341463414634146,0.2305986696230599,0.0079,empowerlens,
microsoft/deberta-v3-base,multiclass,1337.0,val,11,0.3917942442780627,0.2555503630404441,0.2126562014835259,0.3992094861660079,,0.6844919786096256,0.2570226797150768,0.0119,empowerlens,
microsoft/deberta-v3-base,multiclass,1337.0,test,11,0.3435029343178444,0.2169018546406228,0.1776164303485875,0.3359683794466403,,0.6097560975609756,0.2217294900221729,0.0079,empowerlens,
microsoft/deberta-v3-base,multiclass,2024.0,val,11,0.3654598171038534,0.2449601305069806,0.2059830896654631,0.3517786561264822,,0.6347305389221557,0.2383375541407304,0.0119,empowerlens,
microsoft/deberta-v3-base,multiclass,2024.0,test,11,0.3212256902923755,0.2040622981918546,0.1667504072056709,0.2964426877470356,,0.5771812080536913,0.2098840756558877,0.0079,empowerlens,
mental/mental-roberta-base,multiclass,42.0,val,11,0.3806065682913615,0.2680278589360503,0.2329258829248934,0.3794466403162055,,0.6190476190476191,0.2324487107095803,0.0277,empowerlens,
mental/mental-roberta-base,multiclass,42.0,test,11,0.3451567902449049,0.2361742226743832,0.200188995935199,0.3201581027667984,,0.5960264900662252,0.2167369054786273,0.0237,empowerlens,
mental/mental-roberta-base,multiclass,1337.0,val,11,0.3962051437574121,0.2725518133024485,0.2335279248652516,0.3873517786561264,,0.6627906976744186,0.2488739773876275,0.0277,empowerlens,
mental/mental-roberta-base,multiclass,1337.0,test,11,0.3493598921197904,0.2258033848925689,0.1877385620915032,0.3241106719367589,,0.6064516129032258,0.2205278592375366,0.0237,empowerlens,
mental/mental-roberta-base,multiclass,2024,val,11,0.34321833772380234,0.23563909152400253,0.20170300067640282,0.32806324110671936,,0.575,0.21590909090909088,0.0277,empowerlens,
mental/mental-roberta-base,multiclass,2024,test,11,0.32041452164217277,0.20948738982468365,0.17615041452143773,0.2924901185770751,,0.5428571428571428,0.19740259740259739,0.0237,empowerlens,
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted
