class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7543859649122807,0.4673913043478261,0.5771812080536913,92,0.20988407565588776
emotional_reasoning,0.09090909090909091,0.25,0.13333333333333333,12,0.006324110671936758
overgeneralization,0.17647058823529413,0.11538461538461539,0.13953488372093023,26,0.014339553267763582
mental_filter,0.125,0.15384615384615385,0.13793103448275862,13,0.007087365408204989
should_statements,0.19230769230769232,0.45454545454545453,0.2702702702702703,11,0.011750881316098707
all_or_nothing,0.25,0.09090909090909091,0.13333333333333333,11,0.005797101449275362
mind_reading,0.2962962962962963,0.2857142857142857,0.2909090909090909,28,0.03219547251167804
fortune_telling,0.1111111111111111,0.15384615384615385,0.12903225806451613,13,0.0066301160270304735
magnification,0.10526315789473684,0.1111111111111111,0.10810810810810811,18,0.007691485952355519
personalization,0.1,0.07692307692307693,0.08695652173913043,13,0.004468121670390101
labeling,0.19230769230769232,0.3125,0.23809523809523808,16,0.015057406361754186
