model,task,n_classes,seed,split,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,truncation_rate
mental/mental-roberta-base,binary,2.0,1337.0,val,0.8810783206563257,0.8671218487394958,,0.8814229249011858,0.9107142857142857,,0.0079
mental/mental-roberta-base,binary,2.0,1337.0,test,0.8456291457213619,0.8277559570568211,,0.8458498023715415,0.8835820895522388,,0.0316
mental/mental-roberta-base,binary,2.0,2024.0,val,0.8666762806949525,0.8486759828176826,,0.8695652173913043,0.9048991354466859,,0.0079
mental/mental-roberta-base,binary,2.0,2024.0,test,0.856391480826818,0.8386250885896527,,0.857707509881423,0.8941176470588236,,0.0316
mental/mental-roberta-base,binary,2.0,42.0,val,0.865222096743836,0.849404761904762,,0.8656126482213439,0.8988095238095238,,0.0079
mental/mental-roberta-base,binary,2.0,42.0,test,0.849802371541502,0.83264865617602,,0.849802371541502,0.8862275449101796,,0.0316
mental/mental-roberta-base,multiclass,11.0,1337.0,val,0.661572066347448,0.441296419299172,0.3205434007458782,0.6284584980237155,,0.7662337662337663,0.0079
mental/mental-roberta-base,multiclass,11.0,1337.0,test,0.623471410734545,0.36812597305637046,0.3307247338840201,0.6086956521739131,,0.7421383647798742,0.0316
mental/mental-roberta-base,multiclass,11.0,2024.0,val,0.5998422446050905,0.39969368522000104,0.2892114961851804,0.5612648221343873,,0.7051282051282052,0.0079
mental/mental-roberta-base,multiclass,11.0,2024.0,test,0.6155479070130586,0.33342457549224525,0.2908634185836384,0.5849802371541502,,0.7590361445783133,0.0316
mental/mental-roberta-base,multiclass,11.0,42.0,val,0.6620822221813135,0.40964325900992704,0.2894336500900664,0.6324110671936759,,0.7924528301886793,0.0079
mental/mental-roberta-base,multiclass,11.0,42.0,test,0.6494872843548852,0.3720494335206359,0.3312055963848946,0.6363636363636364,,0.7804878048780488,0.0316
mental/mental-roberta-base,multilabel,10.0,1337.0,val,0.6655717719196562,0.5358257345464077,,0.6692759295499021,,,0.0079
mental/mental-roberta-base,multilabel,10.0,1337.0,test,0.5820133510164496,0.41174812569154373,,0.5851703406813628,,,0.0316
mental/mental-roberta-base,multilabel,10.0,2024.0,val,0.6736583760023938,0.533141613558199,,0.6758349705304518,,,0.0079
mental/mental-roberta-base,multilabel,10.0,2024.0,test,0.6077784852838732,0.4695158481365378,,0.5967741935483871,,,0.0316
mental/mental-roberta-base,multilabel,10.0,42.0,val,0.678321558178648,0.5545247089820606,,0.6793893129770993,,,0.0079
mental/mental-roberta-base,multilabel,10.0,42.0,test,0.6026376110305532,0.448462469322868,,0.5992217898832685,,,0.0316
