class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7115384615384616,0.40217391304347827,0.5138888888888888,92,0.18686868686868685
emotional_reasoning,0.16666666666666666,0.5,0.25,12,0.011857707509881422
overgeneralization,0.2,0.11538461538461539,0.14634146341463414,26,0.01503904367106912
mental_filter,0.15384615384615385,0.3076923076923077,0.20512820512820512,13,0.010540184453227932
should_statements,0.1,0.36363636363636365,0.1568627450980392,11,0.0068201193520886615
all_or_nothing,0.1,0.09090909090909091,0.09523809523809523,11,0.004140786749482401
mind_reading,0.26666666666666666,0.42857142857142855,0.3287671232876712,28,0.03638529427689642
fortune_telling,0.0,0.0,0.0,13,0.0
magnification,0.2,0.05555555555555555,0.08695652173913043,18,0.0061866300051555256
personalization,0.21428571428571427,0.23076923076923078,0.2222222222222222,13,0.011418533157663592
labeling,0.0,0.0,0.0,16,0.0
