class,precision,recall,f1,support,weighted_contribution
no_distortion,0.7466666666666667,0.3835616438356164,0.5067873303167421,146,0.22558216532391567
emotional_reasoning,0.16129032258064516,0.45454545454545453,0.23809523809523808,22,0.01596980255516841
overgeneralization,0.19047619047619047,0.19047619047619047,0.19047619047619047,21,0.012195121951219513
mental_filter,0.14285714285714285,0.2,0.16666666666666666,10,0.00508130081300813
should_statements,0.5,0.5652173913043478,0.5306122448979592,23,0.03720756595321056
all_or_nothing,0.14285714285714285,0.2727272727272727,0.1875,11,0.006288109756097561
mind_reading,0.15217391304347827,0.2916666666666667,0.2,24,0.014634146341463414
fortune_telling,0.5769230769230769,0.75,0.6521739130434783,20,0.039766702014846236
magnification,0.2,0.21428571428571427,0.20689655172413793,14,0.008830950378469302
personalization,0.10526315789473684,0.25,0.14814814814814814,8,0.0036133694670280035
labeling,0.6666666666666666,0.06896551724137931,0.125,29,0.011051829268292682
